English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Russian Word	Russian Synonyms
acoustics	0	0	0	0	0	0	0	0	0	0	акустика	
acquaint	0	0	0	0	0	0	0	0	0	0	знакомить	
acquaintance	0	0	0	0	0	0	0	0	0	0	знакомство	
acquainted	0	0	0	0	0	0	0	0	0	0	знакомый	
acquiescence	0	0	0	0	0	0	0	0	0	0	уступчивость	
acquisition	0	0	0	0	0	0	0	0	0	0	приобретение	
acquisitions	0	0	0	0	0	0	0	0	0	0	приобретения	
acreage	0	0	0	0	0	0	0	0	0	0	площадь	
acres	0	0	0	0	0	0	0	0	0	0	акры	
act	0	0	0	0	0	0	0	0	0	0	действовать	
acting	0	0	0	0	0	0	0	0	0	0	действующий	
active	0	0	0	0	0	0	0	0	0	0	активный	
activity	0	0	0	0	0	0	0	0	0	0	Мероприятия	
actor	0	0	0	0	0	0	0	0	0	0	актер	
actuality	0	0	0	0	0	0	0	0	0	0	актуальность	
actuary	0	0	0	0	0	0	0	0	0	0	актуарий	
acupuncture	0	0	0	0	0	0	0	0	0	0	иглоукалывание	
acutely	0	0	0	0	0	0	0	0	0	0	остро	
adage	0	0	0	0	0	0	0	0	0	0	поговорка	
adamant	0	0	0	0	0	0	0	0	0	0	непреклонный	
add	0	0	0	0	0	0	0	0	0	0	добавлять	
added	0	0	0	0	0	0	0	0	0	0	добавлен	
addendum	0	0	0	0	0	0	0	0	0	0	дополнение	
addition	0	0	0	0	0	0	0	0	0	0	добавление	
additional	0	0	0	0	0	0	0	0	0	0	дополнительный	
additive	0	0	0	0	0	0	0	0	0	0	добавка	
address	0	0	0	0	0	0	0	0	0	0	адрес	
addressee	0	0	0	0	0	0	0	0	0	0	адресат	
adequate	0	0	0	0	0	0	0	0	0	0	адекватный	
adhere	0	0	0	0	0	0	0	0	0	0	придерживаться	
adherence	0	0	0	0	0	0	0	0	0	0	приверженность	
adherent	0	0	0	0	0	0	0	0	0	0	приверженец	
adhesion	0	0	0	0	0	0	0	0	0	0	адгезия	
adhesive	0	0	0	0	0	0	0	0	0	0	клей	
adieu	0	0	0	0	0	0	0	0	0	0	прощай	
adjacency	0	0	0	0	0	0	0	0	0	0	соседство	
adjacent	0	0	0	0	0	0	0	0	0	0	соседний	
adjective	0	0	0	0	0	0	0	0	0	0	имя прилагательное	
adjoining	0	0	0	0	0	0	0	0	0	0	примыкающий	
adjourn	0	0	0	0	0	0	0	0	0	0	отложить	
adjournment	0	0	0	0	0	0	0	0	0	0	отсрочка	
adjudication	0	0	0	0	0	0	0	0	0	0	судебное решение	
adjust	0	0	0	0	0	0	0	0	0	0	регулировать	
adjustment	0	0	0	0	0	0	0	0	0	0	корректирование	
adjuvant	0	0	0	0	0	0	0	0	0	0	адъювант	
administer	0	0	0	0	0	0	0	0	0	0	управлять	
administration	0	0	0	0	0	0	0	0	0	0	администрация	
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралтейство	
admissibility	0	0	0	0	0	0	0	0	0	0	приемлемость	
admission	0	0	0	0	0	0	0	0	0	0	допуск	
admit	0	0	0	0	0	0	0	0	0	0	признавать	
admittance	0	0	0	0	0	0	0	0	0	0	допуск	
admitted	0	0	0	0	0	0	0	0	0	0	допущенный	
admitting	0	0	0	0	0	0	0	0	0	0	признавая	
admixture	0	0	0	0	0	0	0	0	0	0	примесь	
ado	0	0	0	0	0	0	0	0	0	0	суета	
adobe	0	0	0	0	0	0	0	0	0	0	саман	
adolescence	0	0	0	0	0	0	0	0	0	0	подростковый возраст	
adolescent	0	0	0	0	0	0	0	0	0	0	подросток	
adopt	0	0	0	0	0	0	0	0	0	0	усыновить	
adoption	0	0	0	0	0	0	0	0	0	0	принятие	
adorn	0	0	0	0	0	0	0	0	0	0	украшать	
adornment	0	0	0	0	0	0	0	0	0	0	украшение	
adult	0	0	0	0	0	0	0	0	0	0	взрослый	
advancing	0	0	0	0	0	0	0	0	0	0	продвижение	
adventurer	0	0	0	0	0	0	0	0	0	0	авантюрист	
advertise	0	0	0	0	0	0	0	0	0	0	рекламировать	
advertisement	0	0	0	0	0	0	0	0	0	0	рекламное объявление	
advisement	0	0	0	0	0	0	0	0	0	0	совет	
aegis	0	0	0	0	0	0	0	0	0	0	эгида	
aeration	0	0	0	0	0	0	0	0	0	0	аэрация	
aerial	0	0	0	0	0	0	0	0	0	0	антенна	
aerodrome	0	0	0	0	0	0	0	0	0	0	аэродром	
aerodynamics	0	0	0	0	0	0	0	0	0	0	аэродинамика	
aeronautics	0	0	0	0	0	0	0	0	0	0	воздухоплавание	
aeroplane	0	0	0	0	0	0	0	0	0	0	самолет	
aetiology	0	0	0	0	0	0	0	0	0	0	этиология	
afar	0	0	0	0	0	0	0	0	0	0	издалека	
affair	0	0	0	0	0	0	0	0	0	0	роман	
affecting	0	0	0	0	0	0	0	0	0	0	воздействующий	
affections	0	0	0	0	0	0	0	0	0	0	привязанности	
affiche	0	0	0	0	0	0	0	0	0	0	афиш	
affidavit	0	0	0	0	0	0	0	0	0	0	аффидевит	
affiliation	0	0	0	0	0	0	0	0	0	0	принадлежность	
affinity	0	0	0	0	0	0	0	0	0	0	близость	
affix	0	0	0	0	0	0	0	0	0	0	прикреплять	
afield	0	0	0	0	0	0	0	0	0	0	вдали	
afore	0	0	0	0	0	0	0	0	0	0	прежде	
aforementioned	0	0	0	0	0	0	0	0	0	0	вышеупомянутый	
aforesaid	0	0	0	0	0	0	0	0	0	0	вышеупомянутый	
afresh	0	0	0	0	0	0	0	0	0	0	заново	
aft	0	0	0	0	0	0	0	0	0	0	корма	
afternoon	0	0	0	0	0	0	0	0	0	0	после полудня	
afterthought	0	0	0	0	0	0	0	0	0	0	запоздалая мысль	
agate	0	0	0	0	0	0	0	0	0	0	агат	
age	0	0	0	0	0	0	0	0	0	0	возраст	
aged	0	0	0	0	0	0	0	0	0	0	в возрасте	
agency	0	0	0	0	0	0	0	0	0	0	агентство	
agent	0	0	0	0	0	0	0	0	0	0	агент	
agglomeration	0	0	0	0	0	0	0	0	0	0	агломерация	
aggregate	0	0	0	0	0	0	0	0	0	0	агрегат	
aggregation	0	0	0	0	0	0	0	0	0	0	агрегация	
agnostic	0	0	0	0	0	0	0	0	0	0	агностик	
ago	0	0	0	0	0	0	0	0	0	0	назад	
agricultural	0	0	0	0	0	0	0	0	0	0	сельскохозяйственный	
agua	0	0	0	0	0	0	0	0	0	0	вода	
ailment	0	0	0	0	0	0	0	0	0	0	болезнь	
aim	0	0	0	0	0	0	0	0	0	0	цель	
air	0	0	0	0	0	0	0	0	0	0	воздуха	
airbag	0	0	0	0	0	0	0	0	0	0	воздушная подушка	
airlift	0	0	0	0	0	0	0	0	0	0	воздушный транспорт	
airline	0	0	0	0	0	0	0	0	0	0	авиакомпания	
airman	0	0	0	0	0	0	0	0	0	0	летчик	
airplane	0	0	0	0	0	0	0	0	0	0	самолет	
airship	0	0	0	0	0	0	0	0	0	0	дирижабль	
aisle	0	0	0	0	0	0	0	0	0	0	ряд	
ait	0	0	0	0	0	0	0	0	0	0	эт	
ajar	0	0	0	0	0	0	0	0	0	0	приоткрытый	
album	0	0	0	0	0	0	0	0	0	0	альбом	
alchemy	0	0	0	0	0	0	0	0	0	0	алхимия	
alcohol	0	0	0	0	0	0	0	0	0	0	алкоголь	
alcove	0	0	0	0	0	0	0	0	0	0	ниша	
alert	0	0	0	0	0	0	0	0	0	0	тревога	
alfalfa	0	0	0	0	0	0	0	0	0	0	люцерна	
algebra	0	0	0	0	0	0	0	0	0	0	алгебра	
algebraic	0	0	0	0	0	0	0	0	0	0	алгебраический	
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритм	
alibi	0	0	0	0	0	0	0	0	0	0	алиби	
alight	0	0	0	0	0	0	0	0	0	0	сойти	
aligned	0	0	0	0	0	0	0	0	0	0	выровнены	
alignment	0	0	0	0	0	0	0	0	0	0	выравнивание	
alike	0	0	0	0	0	0	0	0	0	0	одинаковый	
aliquot	0	0	0	0	0	0	0	0	0	0	аликвота	
alkali	0	0	0	0	0	0	0	0	0	0	щелочь	
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоиды	
alleged	0	0	0	0	0	0	0	0	0	0	предполагаемый	
allegorical	0	0	0	0	0	0	0	0	0	0	аллегорический	
allegory	0	0	0	0	0	0	0	0	0	0	аллегория	
alley	0	0	0	0	0	0	0	0	0	0	переулок	
alligator	0	0	0	0	0	0	0	0	0	0	аллигатор	
allocate	0	0	0	0	0	0	0	0	0	0	выделять	
allocation	0	0	0	0	0	0	0	0	0	0	распределение	
allot	0	0	0	0	0	0	0	0	0	0	выделять	
allotment	0	0	0	0	0	0	0	0	0	0	надел	
allowance	0	0	0	0	0	0	0	0	0	0	разрешение	
allowed	0	0	0	0	0	0	0	0	0	0	допустимый	
alloy	0	0	0	0	0	0	0	0	0	0	сплав	
allusion	0	0	0	0	0	0	0	0	0	0	намек	
alluvial	0	0	0	0	0	0	0	0	0	0	аллювиальный	
almanac	0	0	0	0	0	0	0	0	0	0	альманах	
aloft	0	0	0	0	0	0	0	0	0	0	наверху	
alongside	0	0	0	0	0	0	0	0	0	0	рядом	
aloud	0	0	0	0	0	0	0	0	0	0	вслух	
alphabet	0	0	0	0	0	0	0	0	0	0	алфавит	
alphabetical	0	0	0	0	0	0	0	0	0	0	алфавитный	
altar	0	0	0	0	0	0	0	0	0	0	алтарь	
alter	0	0	0	0	0	0	0	0	0	0	изменить	
alteration	0	0	0	0	0	0	0	0	0	0	изменение	
altered	0	0	0	0	0	0	0	0	0	0	измененный	
alternate	0	0	0	0	0	0	0	0	0	0	чередовать	
alternative	0	0	0	0	0	0	0	0	0	0	альтернатива	
altitude	0	0	0	0	0	0	0	0	0	0	высота	
alto	0	0	0	0	0	0	0	0	0	0	альт	
altogether	0	0	0	0	0	0	0	0	0	0	вообще	
alumnus	0	0	0	0	0	0	0	0	0	0	выпускник	
alveolar	0	0	0	0	0	0	0	0	0	0	альвеолярный	
amalgam	0	0	0	0	0	0	0	0	0	0	амальгама	
amalgamation	0	0	0	0	0	0	0	0	0	0	слияние	
amass	0	0	0	0	0	0	0	0	0	0	накапливать	
amateur	0	0	0	0	0	0	0	0	0	0	любитель	
amazement	0	0	0	0	0	0	0	0	0	0	изумление	
amber	0	0	0	0	0	0	0	0	0	0	янтарь	
ambient	0	0	0	0	0	0	0	0	0	0	окружающий	
ambiguity	0	0	0	0	0	0	0	0	0	0	двусмысленность	
ambit	0	0	0	0	0	0	0	0	0	0	область	
ambitious	0	0	0	0	0	0	0	0	0	0	честолюбивый	
amendment	0	0	0	0	0	0	0	0	0	0	поправка	
amethyst	0	0	0	0	0	0	0	0	0	0	аметист	
amid	0	0	0	0	0	0	0	0	0	0	среди	
amidst	0	0	0	0	0	0	0	0	0	0	среди	
ammunition	0	0	0	0	0	0	0	0	0	0	боеприпасы	
amorphous	0	0	0	0	0	0	0	0	0	0	аморфный	
amount	0	0	0	0	0	0	0	0	0	0	количество	
ampersand	0	0	0	0	0	0	0	0	0	0	амперсанд	
amphibian	0	0	0	0	0	0	0	0	0	0	амфибия	
amphibious	0	0	0	0	0	0	0	0	0	0	амфибия	
amphitheater	0	0	0	0	0	0	0	0	0	0	амфитеатр	
amplification	0	0	0	0	0	0	0	0	0	0	усиление	
amplify	0	0	0	0	0	0	0	0	0	0	усиливать	
amplitude	0	0	0	0	0	0	0	0	0	0	амплитуда	
amply	0	0	0	0	0	0	0	0	0	0	обильно	
amputation	0	0	0	0	0	0	0	0	0	0	ампутация	
amulet	0	0	0	0	0	0	0	0	0	0	амулет	
ana	0	0	0	0	0	0	0	0	0	0	ана	
anaesthesia	0	0	0	0	0	0	0	0	0	0	анестезия	
anaesthetic	0	0	0	0	0	0	0	0	0	0	анестетик	
analgesic	0	0	0	0	0	0	0	0	0	0	обезболивающее	
analogous	0	0	0	0	0	0	0	0	0	0	аналогичный	
analogue	0	0	0	0	0	0	0	0	0	0	аналог	
analogy	0	0	0	0	0	0	0	0	0	0	аналогия	
analysis	0	0	0	0	0	0	0	0	0	0	анализ	
analytic	0	0	0	0	0	0	0	0	0	0	аналитический	
analyze	0	0	0	0	0	0	0	0	0	0	анализировать	
analyzer	0	0	0	0	0	0	0	0	0	0	анализатор	
anastomosis	0	0	0	0	0	0	0	0	0	0	анастомоз	
anatomic	0	0	0	0	0	0	0	0	0	0	анатомический	
anatomy	0	0	0	0	0	0	0	0	0	0	анатомия	
ancestor	0	0	0	0	0	0	0	0	0	0	предок	
ancestry	0	0	0	0	0	0	0	0	0	0	родословная	
ancillary	0	0	0	0	0	0	0	0	0	0	вспомогательный	
androgen	0	0	0	0	0	0	0	0	0	0	андроген	
anemone	0	0	0	0	0	0	0	0	0	0	анемон	
anew	0	0	0	0	0	0	0	0	0	0	заново	
angiography	0	0	0	0	0	0	0	0	0	0	ангиография	
angle	0	0	0	0	0	0	0	0	0	0	угол	
angular	0	0	0	0	0	0	0	0	0	0	угловатый	
anhydrous	0	0	0	0	0	0	0	0	0	0	безводный	
animal	0	0	0	0	0	0	0	0	0	0	животное	
animation	0	0	0	0	0	0	0	0	0	0	анимация	
ankle	0	0	0	0	0	0	0	0	0	0	лодыжка	
annals	0	0	0	0	0	0	0	0	0	0	анналы	
annex	0	0	0	0	0	0	0	0	0	0	приложение	
annexation	0	0	0	0	0	0	0	0	0	0	аннексия	
annexe	0	0	0	0	0	0	0	0	0	0	пристройка	
annotate	0	0	0	0	0	0	0	0	0	0	комментировать	
annotation	0	0	0	0	0	0	0	0	0	0	аннотация	
announce	0	0	0	0	0	0	0	0	0	0	объявить	
annuity	0	0	0	0	0	0	0	0	0	0	аннуитет	
annular	0	0	0	0	0	0	0	0	0	0	кольцевой	
annulus	0	0	0	0	0	0	0	0	0	0	кольцо	
anointing	0	0	0	0	0	0	0	0	0	0	помазание	
anomalous	0	0	0	0	0	0	0	0	0	0	аномальный	
anon	0	0	0	0	0	0	0	0	0	0	скоро	
answer	0	0	0	0	0	0	0	0	0	0	отвечать	
answering	0	0	0	0	0	0	0	0	0	0	отвечая	
ant	0	0	0	0	0	0	0	0	0	0	муравей	
ante	0	0	0	0	0	0	0	0	0	0	анте	
antecedent	0	0	0	0	0	0	0	0	0	0	предшествующий	
antelope	0	0	0	0	0	0	0	0	0	0	антилопа	
antenna	0	0	0	0	0	0	0	0	0	0	антенна	
anterior	0	0	0	0	0	0	0	0	0	0	передний	
anthem	0	0	0	0	0	0	0	0	0	0	гимн	
anthology	0	0	0	0	0	0	0	0	0	0	антология	
anthropology	0	0	0	0	0	0	0	0	0	0	антропология	
antibiotic	0	0	0	0	0	0	0	0	0	0	антибиотик	
antimony	0	0	0	0	0	0	0	0	0	0	сурьма	
antiquarian	0	0	0	0	0	0	0	0	0	0	антиквар	
antiquity	0	0	0	0	0	0	0	0	0	0	древность	
antithetical	0	0	0	0	0	0	0	0	0	0	противоположный	
antiviral	0	0	0	0	0	0	0	0	0	0	противовирусное средство	
antler	0	0	0	0	0	0	0	0	0	0	рога	
anvil	0	0	0	0	0	0	0	0	0	0	наковальня	
aorta	0	0	0	0	0	0	0	0	0	0	аорта	
apace	0	0	0	0	0	0	0	0	0	0	быстро	
apartment	0	0	0	0	0	0	0	0	0	0	квартира	
ape	0	0	0	0	0	0	0	0	0	0	обезьяна	
aperture	0	0	0	0	0	0	0	0	0	0	отверстие	
apex	0	0	0	0	0	0	0	0	0	0	вершина	
apiece	0	0	0	0	0	0	0	0	0	0	кусочек	
apocalyptic	0	0	0	0	0	0	0	0	0	0	апокалиптический	
apologist	0	0	0	0	0	0	0	0	0	0	апологет	
apostasy	0	0	0	0	0	0	0	0	0	0	отступничество	
apostate	0	0	0	0	0	0	0	0	0	0	отступник	
apostrophe	0	0	0	0	0	0	0	0	0	0	апостроф	
apparatus	0	0	0	0	0	0	0	0	0	0	аппарат	
apparel	0	0	0	0	0	0	0	0	0	0	одежда	
apparently	0	0	0	0	0	0	0	0	0	0	по всей видимости	
appearance	0	0	0	0	0	0	0	0	0	0	внешность	
appease	0	0	0	0	0	0	0	0	0	0	успокоить	
appellant	0	0	0	0	0	0	0	0	0	0	заявитель	
append	0	0	0	0	0	0	0	0	0	0	добавить	
appendage	0	0	0	0	0	0	0	0	0	0	придаток	
appendix	0	0	0	0	0	0	0	0	0	0	приложение	
appetite	0	0	0	0	0	0	0	0	0	0	аппетит	
appetizer	0	0	0	0	0	0	0	0	0	0	закуска	
apple	0	0	0	0	0	0	0	0	0	0	яблоко	
appliance	0	0	0	0	0	0	0	0	0	0	прибор	
appliances	0	0	0	0	0	0	0	0	0	0	Техника	
applicability	0	0	0	0	0	0	0	0	0	0	применимость	
applicable	0	0	0	0	0	0	0	0	0	0	применимый	
application	0	0	0	0	0	0	0	0	0	0	заявление	
apply	0	0	0	0	0	0	0	0	0	0	подать заявление	
appoint	0	0	0	0	0	0	0	0	0	0	назначать	
appointment	0	0	0	0	0	0	0	0	0	0	деловое свидание, встреча	
appointments	0	0	0	0	0	0	0	0	0	0	встречи	
apportion	0	0	0	0	0	0	0	0	0	0	распределять	
apportionment	0	0	0	0	0	0	0	0	0	0	распределение	
appraise	0	0	0	0	0	0	0	0	0	0	оценить	
appreciable	0	0	0	0	0	0	0	0	0	0	заметный	
apprenticeship	0	0	0	0	0	0	0	0	0	0	ученичество	
approach	0	0	0	0	0	0	0	0	0	0	подход	
approximate	0	0	0	0	0	0	0	0	0	0	приблизительный	
approximately	0	0	0	0	0	0	0	0	0	0	примерно	
approximating	0	0	0	0	0	0	0	0	0	0	приближающийся	
approximation	0	0	0	0	0	0	0	0	0	0	приближение	
appurtenances	0	0	0	0	0	0	0	0	0	0	принадлежности	
apron	0	0	0	0	0	0	0	0	0	0	фартук	
aqua	0	0	0	0	0	0	0	0	0	0	цвет морской волны	
aquamarine	0	0	0	0	0	0	0	0	0	0	Аквамарин	
aquarium	0	0	0	0	0	0	0	0	0	0	аквариум	
aquatic	0	0	0	0	0	0	0	0	0	0	водный	
aqueduct	0	0	0	0	0	0	0	0	0	0	акведук	
aqueous	0	0	0	0	0	0	0	0	0	0	водный	
arable	0	0	0	0	0	0	0	0	0	0	пахотный	
arbitrate	0	0	0	0	0	0	0	0	0	0	арбитраж	
arbor	0	0	0	0	0	0	0	0	0	0	беседка	
arc	0	0	0	0	0	0	0	0	0	0	дуга	
arcade	0	0	0	0	0	0	0	0	0	0	аркада	
arch	0	0	0	0	0	0	0	0	0	0	арка	
archaeological	0	0	0	0	0	0	0	0	0	0	археологический	
archaeologist	0	0	0	0	0	0	0	0	0	0	археолог	
archbishop	0	0	0	0	0	0	0	0	0	0	архиепископ	
arched	0	0	0	0	0	0	0	0	0	0	арочный	
archer	0	0	0	0	0	0	0	0	0	0	лучник	
archery	0	0	0	0	0	0	0	0	0	0	стрельба из лука	
archetype	0	0	0	0	0	0	0	0	0	0	архетип	
archipelago	0	0	0	0	0	0	0	0	0	0	архипелаг	
architect	0	0	0	0	0	0	0	0	0	0	архитектор	
archive	0	0	0	0	0	0	0	0	0	0	архив	
arctic	0	0	0	0	0	0	0	0	0	0	Арктический	
area	0	0	0	0	0	0	0	0	0	0	область	
arena	0	0	0	0	0	0	0	0	0	0	арена	
areola	0	0	0	0	0	0	0	0	0	0	ареола	
argent	0	0	0	0	0	0	0	0	0	0	серебристый	
aristocrat	0	0	0	0	0	0	0	0	0	0	аристократ	
arithmetic	0	0	0	0	0	0	0	0	0	0	арифметика	
ark	0	0	0	0	0	0	0	0	0	0	ковчег	
arm	0	0	0	0	0	0	0	0	0	0	рука	
armada	0	0	0	0	0	0	0	0	0	0	армада	
armature	0	0	0	0	0	0	0	0	0	0	арматура	
arms	0	0	0	0	0	0	0	0	0	0	руки	
army	0	0	0	0	0	0	0	0	0	0	армия	
arousal	0	0	0	0	0	0	0	0	0	0	возбуждение	
arrange	0	0	0	0	0	0	0	0	0	0	договариваться	
arranged	0	0	0	0	0	0	0	0	0	0	согласованный	
arrangement	0	0	0	0	0	0	0	0	0	0	договоренность	
arrow	0	0	0	0	0	0	0	0	0	0	стрелка	
arsenal	0	0	0	0	0	0	0	0	0	0	арсенал	
artery	0	0	0	0	0	0	0	0	0	0	артерия	
artful	0	0	0	0	0	0	0	0	0	0	хитрый	
arthropod	0	0	0	0	0	0	0	0	0	0	членистоногое	
artichoke	0	0	0	0	0	0	0	0	0	0	Артишок	
article	0	0	0	0	0	0	0	0	0	0	статья	
articles	0	0	0	0	0	0	0	0	0	0	статьи	
artifice	0	0	0	0	0	0	0	0	0	0	хитрость	
artist	0	0	0	0	0	0	0	0	0	0	художник	
artists	0	0	0	0	0	0	0	0	0	0	художники	
ascend	0	0	0	0	0	0	0	0	0	0	подниматься	
ascension	0	0	0	0	0	0	0	0	0	0	восхождение	
ascertain	0	0	0	0	0	0	0	0	0	0	установить	
ascertained	0	0	0	0	0	0	0	0	0	0	установлено	
ascetic	0	0	0	0	0	0	0	0	0	0	аскет	
asleep	0	0	0	0	0	0	0	0	0	0	спящий	
aspartame	0	0	0	0	0	0	0	0	0	0	аспартам	
aspect	0	0	0	0	0	0	0	0	0	0	аспект	
aspects	0	0	0	0	0	0	0	0	0	0	аспекты	
asphalt	0	0	0	0	0	0	0	0	0	0	асфальт	
assay	0	0	0	0	0	0	0	0	0	0	анализ	
assemblage	0	0	0	0	0	0	0	0	0	0	собрание	
assemble	0	0	0	0	0	0	0	0	0	0	собрать	
assembled	0	0	0	0	0	0	0	0	0	0	собранный	
assert	0	0	0	0	0	0	0	0	0	0	утверждать	
assertion	0	0	0	0	0	0	0	0	0	0	утверждение	
assess	0	0	0	0	0	0	0	0	0	0	оценивать	
assign	0	0	0	0	0	0	0	0	0	0	назначать	
assignment	0	0	0	0	0	0	0	0	0	0	назначение	
assimilate	0	0	0	0	0	0	0	0	0	0	ассимилировать	
assimilation	0	0	0	0	0	0	0	0	0	0	ассимиляция	
assistant	0	0	0	0	0	0	0	0	0	0	помощник	
assorted	0	0	0	0	0	0	0	0	0	0	Ассорти	
assortment	0	0	0	0	0	0	0	0	0	0	ассортимент	
assumed	0	0	0	0	0	0	0	0	0	0	предполагаемый	
assuming	0	0	0	0	0	0	0	0	0	0	предполагая	
assumption	0	0	0	0	0	0	0	0	0	0	предположение	
asterisk	0	0	0	0	0	0	0	0	0	0	звездочка	
asteroids	0	0	0	0	0	0	0	0	0	0	астероиды	
astigmatism	0	0	0	0	0	0	0	0	0	0	астигматизм	
astral	0	0	0	0	0	0	0	0	0	0	астральный	
astrology	0	0	0	0	0	0	0	0	0	0	астрология	
astronomy	0	0	0	0	0	0	0	0	0	0	астрономия	
asunder	0	0	0	0	0	0	0	0	0	0	на части	
asymmetric	0	0	0	0	0	0	0	0	0	0	асимметричный	
asymptotic	0	0	0	0	0	0	0	0	0	0	асимптотический	
atelier	0	0	0	0	0	0	0	0	0	0	ателье	
atheistic	0	0	0	0	0	0	0	0	0	0	атеистический	
athleticism	0	0	0	0	0	0	0	0	0	0	атлетизм	
athletics	0	0	0	0	0	0	0	0	0	0	легкая атлетика	
atlas	0	0	0	0	0	0	0	0	0	0	атлас	
atmosphere	0	0	0	0	0	0	0	0	0	0	атмосфера	
atmospheric	0	0	0	0	0	0	0	0	0	0	атмосферный	
atoll	0	0	0	0	0	0	0	0	0	0	атолл	
atomic	0	0	0	0	0	0	0	0	0	0	атомный	
atrium	0	0	0	0	0	0	0	0	0	0	Атриум	
attach	0	0	0	0	0	0	0	0	0	0	прикреплять	
attain	0	0	0	0	0	0	0	0	0	0	достичь	
attenuate	0	0	0	0	0	0	0	0	0	0	ослабить	
attic	0	0	0	0	0	0	0	0	0	0	чердак	
attire	0	0	0	0	0	0	0	0	0	0	наряд	
attitude	0	0	0	0	0	0	0	0	0	0	отношение	
attributable	0	0	0	0	0	0	0	0	0	0	относимый	
attribute	0	0	0	0	0	0	0	0	0	0	атрибут	
attribution	0	0	0	0	0	0	0	0	0	0	атрибуция	
attrition	0	0	0	0	0	0	0	0	0	0	потертость	
auburn	0	0	0	0	0	0	0	0	0	0	темно-рыжий	
auctioneer	0	0	0	0	0	0	0	0	0	0	аукционист	
audacious	0	0	0	0	0	0	0	0	0	0	дерзкий	
audible	0	0	0	0	0	0	0	0	0	0	слышимый	
audit	0	0	0	0	0	0	0	0	0	0	аудит	
